■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2023-02-17,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2022~2022   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,"전국
스크린수","전국
매출액","전국
관객수","서울
매출액","서울
관객수",장르,등급,영화구분
185,뱅드림! 팝핀' 드림!,카키모토 코다이,,(주)애니플러스,(주)애니플러스,2022-03-24,개봉영화,장편,일본,105,"121,601,460","12,386","51,443,710","4,935",애니메이션,전체관람가,일반영화
186,불도저에 탄 소녀,박이웅,(주)고집스튜디오,,트윈플러스파트너스(주),2022-04-07,개봉영화,장편,한국,203,"102,995,240","12,335","56,147,770","6,974",드라마,15세이상관람가,독립/예술영화
187,걸리버 리턴즈,,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2022-11-03,개봉영화,장편,우크라이나,206,"95,148,587","12,162","14,617,100","1,552",애니메이션,전체관람가,일반영화
188,특수요원 빼꼼,장양,,예지림엔터테인먼트,"(주)띵크,예지림엔터테인먼트,(주)인터파크",2022-06-01,개봉영화,장편,중국,115,"106,392,400","12,122","18,980,340","1,928",애니메이션,전체관람가,독립/예술영화
189,성덕,오세연,해랑사,,오드,2022-09-28,개봉영화,장편,한국,60,"105,907,892","12,078","77,074,693","8,452",다큐멘터리,12세이상관람가,독립/예술영화
190,하늘의 푸르름을 아는 사람이여,나가이 타츠유키,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),2022-03-16,개봉영화,장편,일본,121,"104,358,500","11,688","40,768,100","4,636",애니메이션,12세이상관람가,독립/예술영화
191,장민호 드라마 최종회,,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022-01-24,개봉영화,장편,한국,81,"223,662,200","11,687","87,142,100","4,599",공연,전체관람가,일반영화
192,피그,,,판씨네마(주),판씨네마(주),2022-02-23,개봉영화,장편,미국,113,"106,769,970","11,625","66,802,570","6,790",드라마,12세이상관람가,독립/예술영화
193,실종,,,(주)엔케이컨텐츠,(주)디스테이션,2022-06-15,개봉영화,장편,일본,67,"105,365,000","11,451","65,188,900","7,257",스릴러,청소년관람불가,독립/예술영화
194,한여름밤의 재즈,버트 스턴,,찬란,찬란,2022-09-08,개봉영화,장편,미국,43,"118,121,789","11,446","94,586,589","8,955",다큐멘터리,12세이상관람가,독립/예술영화
195,토르: 마법 검의 전설,,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2022-05-04,개봉영화,장편,독일,201,"89,251,300","11,423","25,634,300","3,827",애니메이션,전체관람가,일반영화
196,더 컨트랙터,타릭 살레,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2022-04-28,개봉영화,장편,미국,161,"90,330,780","11,365","45,063,180","6,438",액션,15세이상관람가,일반영화
197,오! 마이 고스트,홍태선,"한국영상대학교,필름에이픽쳐스,주식회사 제이씨엔터웍스",,"(주)디스테이션,주식회사 제이씨엔터웍스",2022-09-15,개봉영화,장편,한국,283,"87,624,391","11,094","42,463,498","5,675",코미디,15세이상관람가,독립/예술영화
198,나를 만나는 길,"마크 J. 프란시스,맥스 퍼그",,(주)티캐스트,(주)티캐스트,2022-05-12,개봉영화,장편,영국,53,"101,947,800","11,041","63,380,100","6,586",다큐멘터리,전체관람가,독립/예술영화
199,모어,이일하,,,(주)엣나인필름,2022-06-23,개봉영화,장편,한국,54,"93,037,900","10,972","65,126,200","7,160",다큐멘터리,15세이상관람가,독립/예술영화
200,녹턴,정관조,미디어나무,,(주)시네마달,2022-08-18,개봉영화,장편,한국,54,"76,761,100","10,890","42,695,900","5,731",다큐멘터리,12세이상관람가,독립/예술영화
201,엔칸토: 마법의 세계,"바이론 하워드,자레드 부시,채리스 카스트로 스미스",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-11-24,개봉영화,장편,미국,"1,102","96,269,920","10,667","28,741,560","3,334",애니메이션,전체관람가,일반영화
202,소설가의 영화,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2022-04-21,개봉영화,장편,한국,66,"96,262,570","10,574","70,536,900","7,478",드라마,12세이상관람가,독립/예술영화
203,페르시아어 수업,바딤 피얼먼,,(주)영화사 진진,(주)영화사 진진,2022-12-15,개봉영화,장편,러시아,40,"98,804,593","10,547","75,817,493","7,964",드라마,15세이상관람가,독립/예술영화
204,멘,알렉스 가랜드,,판씨네마(주),판씨네마(주),2022-07-13,개봉영화,장편,미국,96,"95,589,560","10,474","64,527,560","7,347",드라마,청소년관람불가,독립/예술영화
205,엑스칼리버 더 뮤지컬 다큐멘터리: 도겸의 찬란한 여정,오윤동,씨제이포디플렉스 주식회사,,씨제이포디플렉스 주식회사,2022-10-05,개봉영화,장편,한국,31,"240,021,500","10,436","119,116,000","5,179",공연,전체관람가,일반영화
206,킹 리차드,레이날도 마르쿠스 그린,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-03-24,개봉영화,장편,미국,156,"99,918,100","10,266","50,886,300","5,068",가족,12세이상관람가,일반영화
207,미싱타는 여자들,"이혁래,김정영",플라잉타이거픽처스,,(주)영화사 진진,2022-01-20,개봉영화,장편,한국,39,"83,357,720","10,240","63,714,100","7,721",다큐멘터리,전체관람가,독립/예술영화
208,귀멸의 칼날: 장구저택 편,소토자키 하루오,,애니맥스 브로드캐스팅 코리아 유한회사,(주)박수엔터테인먼트,2022-09-15,개봉영화,장편,일본,100,"100,213,500","10,205","29,492,200","3,032",애니메이션,15세이상관람가,일반영화
209,극장판 시그널,하시모토 하지메,,(주)미디어캐슬,트윈플러스파트너스(주),2022-03-31,개봉영화,장편,일본,90,"61,115,200","10,041","31,131,900","5,105",드라마,12세이상관람가,독립/예술영화
210,캐릭터,나가이 아키라,,대원미디어(주),트윈플러스파트너스(주),2022-10-19,개봉영화,장편,일본,126,"77,245,700","9,833","38,285,700","5,128",스릴러,15세이상관람가,일반영화
211,풀타임,,,주식회사 슈아픽처스,주식회사 슈아픽처스,2022-08-18,개봉영화,장편,프랑스,59,"90,929,698","9,816","59,954,398","6,129",드라마,전체관람가,독립/예술영화
212,미시즈 해리스 파리에 가다,안소니 파비안,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-11-02,개봉영화,장편,미국,144,"89,715,400","9,738","46,557,000","5,115",드라마,12세이상관람가,일반영화
213,프랑스,브루노 뒤몽,,M&M 인터내셔널,M&M 인터내셔널,2022-01-13,개봉영화,장편,프랑스,54,"90,984,190","9,650","66,186,490","6,701",드라마,12세이상관람가,독립/예술영화
214,신데렐라 2: 마법에 걸린 왕자,앨리스 블레하트,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2021-12-22,개봉영화,장편,미국,355,"84,516,570","9,549","11,561,280","1,394",애니메이션,전체관람가,일반영화
215,매스,프란 크랜즈,,오드,오드,2022-05-18,개봉영화,장편,미국,68,"87,639,300","9,421","58,182,500","6,042",드라마,12세이상관람가,독립/예술영화
216,패러렐 마더스,페드로 알모도바르,,찬란,(주)스튜디오디에이치엘,2022-03-31,개봉영화,장편,스페인,88,"86,375,800","9,370","56,554,200","5,790",멜로/로맨스,15세이상관람가,독립/예술영화
217,9명의 번역가,레지스 르왕사르,,(주)도키엔터테인먼트,(주)이놀미디어,2022-09-14,개봉영화,장편,프랑스,99,"97,299,408","9,269","60,653,613","5,634",미스터리,15세이상관람가,독립/예술영화
218,비욘드 라이브 더 무비: 엑소의 사다리 타고 세계여행3,최소망,(주)에스엠 컬처앤콘텐츠,,씨제이 씨지브이(CJ CGV)(주),2022-07-27,개봉영화,장편,한국,18,"149,441,500","9,060","89,275,000","5,413",코미디,전체관람가,일반영화
219,아마겟돈 타임,제임스 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-11-23,개봉영화,장편,미국,186,"77,415,848","8,997","47,166,092","5,666",드라마,12세이상관람가,일반영화
220,내 친한 친구의 아침식사,두정철,,초코필름,(주)팝엔터테인먼트,2022-11-10,개봉영화,장편,대만,140,"68,128,900","8,906","39,522,100","5,594",멜로/로맨스,12세이상관람가,일반영화
221,경아의 딸,김정은,주마등필름,,㈜인디스토리,2022-06-16,개봉영화,장편,한국,54,"61,878,100","8,897","37,575,600","5,597",드라마,15세이상관람가,독립/예술영화
222,쿠폰의 여왕,아론 고뎃,,주식회사 왓챠,"(주)영화특별시에스엠씨,주식회사 왓챠",2022-04-27,개봉영화,장편,미국,180,"64,732,700","8,896","35,960,100","5,073",코미디,15세이상관람가,일반영화
223,물방울을 그리는 남자,"김오안,브리짓 부이요",(주)미루픽처스,,(주)영화사 진진,2022-09-28,개봉영화,장편,한국,47,"78,650,000","8,762","60,483,800","6,618",다큐멘터리,전체관람가,독립/예술영화
224,"굿 럭 투 유, 리오 그랜드",소피 하이드,,(주)퍼스트런,"㈜무비다이브,(주)퍼스트런",2022-08-11,개봉영화,장편,영국,46,"84,095,716","8,721","61,535,516","6,240",코미디,청소년관람불가,독립/예술영화
225,애프터 미투,"박소현,이솜이,강유가람,김소람",애프터 미투 프로젝트 팀,,(주)영화사 그램,2022-10-06,개봉영화,옴니버스,한국,71,"61,628,698","8,674","29,679,098","3,649",다큐멘터리,15세이상관람가,독립/예술영화
226,위대한 침묵,송상민,(주)지티지그룹,,"(주)지티지그룹,와이드 릴리즈(주)",2022-06-29,개봉영화,장편,한국,48,"81,404,670","8,662","29,180,700","3,103",다큐멘터리,12세이상관람가,일반영화
227,쓰리: 아직 끝나지 않았다,박루슬란,아슬란필름,,필름다빈,2022-04-21,개봉영화,장편,한국,77,"59,127,000","8,573","38,345,100","5,776",드라마,15세이상관람가,독립/예술영화
228,비욘드 라이브 더 무비 : 샤이니 월드,,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),2022-06-29,개봉영화,장편,한국,13,"133,198,500","8,325","93,951,500","5,872",공연,전체관람가,일반영화
229,"파리, 13구",자크 오디아르,,찬란,"찬란,(주)하이스트레인저",2022-05-12,개봉영화,장편,프랑스,59,"81,555,760","8,304","56,533,860","5,449",드라마,청소년관람불가,독립/예술영화
230,바커스: 고양이를 조심해!,,,(주)태양미디어그룹,"와이드 릴리즈(주),(주)태양미디어그룹",2022-10-27,개봉영화,장편,러시아,181,"66,914,152","8,229","14,104,698","1,451",애니메이션,전체관람가,일반영화
231,수프와 이데올로기,양영희,"㈜PLACE TO BE,㈜나비온에어",,(주)엣나인필름,2022-10-20,개봉영화,장편,한국,45,"75,492,550","8,179","50,362,151","5,173",다큐멘터리,12세이상관람가,독립/예술영화
232,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,카와노 아야코,,(주)애니플러스,(주)애니플러스,2021-12-09,개봉영화,장편,일본,110,"82,748,600","8,178","32,145,300","3,072",애니메이션,12세이상관람가,일반영화
233,베르네 부인의 장미정원,,,찬란,찬란,2022-06-09,개봉영화,장편,프랑스,37,"73,908,400","8,033","50,319,500","5,228",드라마,12세이상관람가,독립/예술영화
234,십센치 : 권정열 인 시네마,김병준,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),2022-10-08,개봉영화,장편,한국,20,"182,562,000","7,977","95,604,500","3,629",공연,15세이상관람가,일반영화
235,둠둠,정원희,(주)이스트게이트컴퍼니,,(주)영화사 진진,2022-09-15,개봉영화,장편,한국,74,"64,874,099","7,894","43,621,599","4,727",드라마,15세이상관람가,독립/예술영화
236,인어가 잠든 집,츠츠미 유키히코,,(주)콘텐츠패밀리,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2022-01-28,개봉영화,장편,일본,90,"70,331,730","7,819","27,369,430","2,940",드라마,12세이상관람가,독립/예술영화
237,램,발디마르 요한손,,오드,오드,2021-12-29,개봉영화,장편,기타,123,"79,252,320","7,765","49,523,940","4,646",공포(호러),15세이상관람가,독립/예술영화
238,유체이탈자,윤재근,"(주)비에이엔터테인먼트,(주)사람엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2021-11-24,개봉영화,장편,한국,"1,216","42,190,000","7,761","34,100,000","6,429",판타지,15세이상관람가,일반영화
239,같은 속옷을 입는 두 여자,김세인,한국영화아카데미,,찬란,2022-11-10,개봉영화,장편,한국,53,"71,455,392","7,749","51,030,393","5,272",드라마,15세이상관람가,독립/예술영화
240,놈이 우리 안에 있다,조쉬 루벤,,(주)콘텐츠패밀리,(주)영화사오원,2022-11-23,개봉영화,장편,미국,91,"53,874,793","7,542","28,476,394","3,984",미스터리,15세이상관람가,일반영화
241,애프터: 에버 해피,캐스틸 랜던,,판씨네마(주),판씨네마(주),2022-09-21,개봉영화,장편,미국,128,"66,231,200","7,499","32,896,500","4,129",멜로/로맨스,15세이상관람가,일반영화
242,뮤지컬 킹키부츠 라이브,브렛 설리반,,(주)씨제이이엔엠,CGV ICECON,2022-04-28,개봉영화,장편,영국,47,"132,475,000","7,379","77,102,000","4,295",공연,12세이상관람가,일반영화
243,에펠,마르탱 부르불롱,,(주)영화사메이플러스,"주식회사 블루필름웍스,(주)플레이그램",2022-03-23,개봉영화,장편,프랑스,182,"66,593,890","7,209","29,190,560","3,040",멜로/로맨스,15세이상관람가,독립/예술영화
244,레벤느망,오드리 디완,,주식회사 왓챠,"(주)영화특별시에스엠씨,주식회사 왓챠",2022-03-10,개봉영화,장편,프랑스,64,"63,486,170","7,035","40,370,770","4,233",드라마,15세이상관람가,독립/예술영화
245,베르히만 아일랜드,미아 한센-로브,,찬란,찬란,2022-08-04,개봉영화,장편,프랑스,45,"65,384,098","7,030","45,059,998","4,560",드라마,15세이상관람가,독립/예술영화
246,창밖은 겨울,이상진,끼리끼리 필름,,(주)영화사 진진,2022-11-24,개봉영화,장편,한국,55,"54,879,992","6,977","34,149,393","4,265",드라마,12세이상관람가,독립/예술영화
247,만인의 연인,한인미,(주)시네마달,,(주)시네마달,2022-12-01,개봉영화,장편,한국,52,"55,304,300","6,920","29,063,200","3,605",드라마,15세이상관람가,독립/예술영화
248,성적표의 김민영,"이재은,임지선",탁구필름,,(주)엣나인필름,2022-09-08,개봉영화,장편,한국,48,"65,702,161","6,884","52,917,361","5,270",드라마,전체관람가,독립/예술영화
249,홈리스,임승현,"(주)타이거시네마,DGC",,그린나래미디어(주),2022-09-15,개봉영화,장편,한국,86,"49,834,597","6,824","26,438,297","3,399",드라마,12세이상관람가,독립/예술영화
250,태일이,홍준표,"(주)명필름,(주)스튜디오루머,전태일재단,유한회사 질라라비,영화 <태일이> 1970인 제작위원",,(주)리틀빅픽쳐스,2021-12-01,개봉영화,장편,한국,458,"52,018,940","6,761","32,735,970","4,400",애니메이션,전체관람가,독립/예술영화
251,코르사주,,,그린나래미디어(주),"그린나래미디어(주),(주)플레이그램",2022-12-21,개봉영화,장편,프랑스,46,"65,163,798","6,753","48,591,298","4,996",드라마,15세이상관람가,독립/예술영화
252,아라시 20주년 투어 콘서트 5✕20,츠츠미 유키히코,,찬란,찬란,2022-08-31,개봉영화,장편,일본,18,"99,114,000","6,741","67,168,000","4,539",공연,전체관람가,일반영화
253,세이레,박강,한국예술종합학교,,트윈플러스파트너스(주),2022-11-24,개봉영화,장편,한국,70,"52,501,083","6,739","31,344,698","4,193",드라마,15세이상관람가,독립/예술영화
254,오늘부터 우리는!!,후쿠다 유이치,,(주)미디어캐슬,(주)미디어캐슬,2022-04-15,개봉영화,장편,일본,21,"35,193,700","6,699","25,720,200","4,878",코미디,15세이상관람가,일반영화
255,썬다운,미셸 프랑코,,M&M 인터내셔널,M&M 인터내셔널,2022-08-31,개봉영화,장편,프랑스,45,"60,883,899","6,697","44,694,799","4,752",미스터리,15세이상관람가,독립/예술영화
256,고양이들의 아파트,정재은,영화사 못,,"(주)엣나인필름,(주)메타플레이",2022-03-17,개봉영화,장편,한국,75,"58,285,970","6,646","41,803,870","4,616",다큐멘터리,전체관람가,독립/예술영화
257,복지식당,"정재익,서태수",제주에스엘(주),,㈜인디스토리,2022-04-14,개봉영화,장편,한국,53,"47,291,100","6,598","29,829,100","4,131",드라마,12세이상관람가,독립/예술영화
258,노스맨,로버트 에거스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-08-31,개봉영화,장편,미국,39,"56,335,999","6,378","38,877,799","4,588",드라마,청소년관람불가,일반영화
259,드라이,로버트 코놀리,,(주)영화사 진진,(주)영화사 진진,2022-03-30,개봉영화,장편,호주,110,"53,249,980","6,325","33,442,280","3,762",미스터리,15세이상관람가,독립/예술영화
260,아이의 노랫소리를 들려줘,요시우라 야스히로,,미라지엔터테인먼트,(주)라이크콘텐츠,2022-09-22,개봉영화,장편,일본,106,"58,092,382","6,294","33,318,390","3,286",애니메이션,12세이상관람가,독립/예술영화
261,썬더버드,이재원,한국영화아카데미,,(주)트리플픽쳐스,2022-09-21,개봉영화,장편,한국,99,"52,757,800","6,227","28,206,400","3,290",드라마,15세이상관람가,독립/예술영화
262,다 잘된 거야,프랑수아 오종,,(주)더쿱디스트리뷰션,(주)더쿱디스트리뷰션,2022-09-07,개봉영화,장편,프랑스,40,"57,171,817","6,198","41,147,317","4,265",드라마,12세이상관람가,독립/예술영화
263,더 노비스,로런 해더웨이,,(주)영화사 진진,(주)영화사 진진,2022-05-25,개봉영화,장편,미국,52,"53,571,600","6,174","38,417,600","4,337",스릴러,15세이상관람가,독립/예술영화
264,극장판 가면라이더: 세이버X젠카이저 슈퍼히어로 전기,타자키 류타,,대원미디어(주),트윈플러스파트너스(주),2022-12-01,개봉영화,장편,일본,103,"50,623,179","6,139","18,261,895","1,942",액션,전체관람가,일반영화
265,리디밍 러브,D.J. 카루소,,"주식회사 풍경소리,(주)타임앤드스페이스",(주)까멜리아이엔티,2022-03-23,개봉영화,장편,미국,118,"48,410,470","6,134","27,864,270","3,622",멜로/로맨스,15세이상관람가,일반영화
266,굿 보스,페르난도 레온 데 아라노아,,(주)엔케이컨텐츠,(주)디스테이션,2022-02-10,개봉영화,장편,스페인,85,"54,351,220","6,114","31,916,720","3,463",드라마,15세이상관람가,독립/예술영화
267,전투왕,이상호,(주)씨네포트,,"(주)씨네포트,주식회사 블루필름웍스",2022-02-17,개봉영화,장편,한국,41,"62,110,610","6,034","31,556,800","2,909",다큐멘터리,12세이상관람가,독립/예술영화
268,로망스 돌,타나다 유키,,(주)미디어캐슬,(주)미디어캐슬,2022-04-01,개봉영화,장편,일본,7,"31,168,700","5,949","22,562,700","4,294",멜로/로맨스,청소년관람불가,독립/예술영화
269,도어맨,기타무라 류헤이,,(주)블루라벨픽쳐스,(주)블루라벨픽쳐스,2022-03-16,개봉영화,장편,미국,130,"50,245,300","5,888","24,044,100","2,857",액션,15세이상관람가,일반영화
270,죽어도 자이언츠,이동윤,"국제신문,구구필름",,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-27,개봉영화,장편,한국,69,"58,248,407","5,813","16,643,100","1,592",다큐멘터리,12세이상관람가,독립/예술영화
271,극장판 천재 추리 탐정 셜록홈즈,,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2022-01-27,개봉영화,장편,홍콩,134,"50,762,300","5,716","19,563,700","2,076",애니메이션,전체관람가,일반영화
272,원 세컨드,장예모,,찬란,찬란,2022-01-27,개봉영화,장편,중국,42,"50,859,200","5,716","32,657,500","3,539",드라마,12세이상관람가,독립/예술영화
273,기예르모 델토로의 피노키오,기예르모 델 토로,,,씨제이 씨지브이(CJ CGV)(주),2022-11-23,개봉영화,장편,미국,57,"52,077,500","5,715","30,113,700","3,158",애니메이션,전체관람가,일반영화
274,멋진 세계,니시카와 미와,,(주)엣나인필름,(주)엣나인필름,2022-08-11,개봉영화,장편,일본,47,"55,080,300","5,698","37,498,700","3,639",드라마,15세이상관람가,독립/예술영화
275,걸즈 앤 판처 최종장 제3화,미즈시마 츠토무,,(주)엔케이컨텐츠,(주)디스테이션,2022-01-12,개봉영화,장편,일본,43,"55,892,500","5,660","31,467,000","3,010",애니메이션,12세이상관람가,일반영화
276,극장판 금빛 모자이크 땡큐!!,,,(주)퍼스트런,메가박스중앙(주),2022-03-09,개봉영화,장편,일본,60,"28,202,000","5,638","14,145,500","2,883",애니메이션,전체관람가,일반영화
277,탑,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2022-11-03,개봉영화,장편,한국,57,"53,096,293","5,635","42,696,993","4,401",드라마,15세이상관람가,독립/예술영화
278,재춘언니,이수정,생의 한가운데,,(주)시네마달,2022-03-31,개봉영화,장편,한국,44,"35,332,500","5,627","26,691,500","4,272",다큐멘터리,12세이상관람가,독립/예술영화
279,거래완료,조경호,한국예술종합학교 산학협력단,,(주)스튜디오디에이치엘,2022-10-06,개봉영화,장편,한국,72,"51,481,099","5,614","35,234,899","3,751",드라마,12세이상관람가,독립/예술영화
280,이공삼칠,모홍진,"모티브픽쳐스(주),(주)재크필름",,(주)씨네필운,2022-06-08,개봉영화,장편,한국,89,"58,124,820","5,516","17,675,800","1,628",가족,15세이상관람가,독립/예술영화
281,"그 겨울, 나는",오성호,한국영화아카데미,,(주)더쿱디스트리뷰션,2022-11-30,개봉영화,장편,한국,27,"41,335,793","5,433","35,827,593","4,772",멜로/로맨스,15세이상관람가,독립/예술영화
282,어웨이크,이윤호,주식회사 티에스나린시네마,,"주식회사 엔픽플,트윈플러스파트너스(주)",2022-08-24,개봉영화,장편,한국,72,"42,708,198","5,367","18,795,998","2,192",미스터리,15세이상관람가,독립/예술영화
283,벰: 비컴 휴먼,이케하타 히로시,,(주)미디어캐슬,(주)미디어캐슬,2022-06-16,개봉영화,장편,일본,5,"27,195,500","5,279","21,537,500","4,178",애니메이션,15세이상관람가,독립/예술영화
284,뱅크시,엘리오 에스파나,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2022-08-11,개봉영화,장편,영국,35,"43,566,999","5,247","27,381,399","3,053",다큐멘터리,전체관람가,독립/예술영화
285,애니멀 체인지,정량,,(주)히스토리필름,와이드 릴리즈(주),2022-02-09,개봉영화,장편,중국,155,"38,658,440","5,239","4,611,600",536,애니메이션,전체관람가,일반영화
286,매미소리,이충렬,주식회사 자유로픽쳐스,,(주)드림팩트엔터테인먼트,2022-02-24,개봉영화,장편,한국,70,"48,274,770","5,100","29,736,300","2,623",드라마,15세이상관람가,독립/예술영화
287,미친 능력,톰 고미칸,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2022-06-29,개봉영화,장편,미국,110,"48,352,710","5,052","28,693,570","2,930",범죄,15세이상관람가,일반영화
288,파라다이스 하이웨이,안나 구또,,판씨네마(주),판씨네마(주),2022-08-24,개봉영화,장편,미국,53,"43,392,800","4,904","31,833,200","3,461",액션,15세이상관람가,독립/예술영화
289,알카라스의 여름,카를라 시몬,,(주)영화사 진진,(주)영화사 진진,2022-11-03,개봉영화,장편,스페인,44,"43,648,493","4,823","31,107,593","3,128",드라마,12세이상관람가,독립/예술영화
290,해탄적일천,에드워드 양,,(주)에이썸엔터테인먼트,(주)에이썸엔터테인먼트,2022-01-06,개봉영화,장편,대만,44,"45,827,240","4,778","32,542,240","3,170",드라마,12세이상관람가,독립/예술영화
291,B컷,김진영,"(주)영화사 필,TCO(주)더콘텐츠온",,TCO(주)더콘텐츠온,2022-03-30,개봉영화,장편,한국,84,"36,525,500","4,763","11,824,900","1,628",범죄,청소년관람불가,일반영화
292,그녀가 말했다,마리아 슈라더,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-11-30,개봉영화,장편,미국,88,"37,912,300","4,757","21,456,100","2,612",드라마,15세이상관람가,일반영화
293,가가린,"파니 리에타르,제레미 트루일",,(주)엣나인필름,(주)엣나인필름,2022-12-22,개봉영화,장편,프랑스,41,"46,236,488","4,664","36,989,089","3,673",SF,12세이상관람가,독립/예술영화
294,태어나길 잘했어,최진영,대장정,,그린나래미디어(주),2022-04-14,개봉영화,장편,한국,50,"38,873,300","4,663","24,167,100","2,849",드라마,12세이상관람가,독립/예술영화
295,나를 죽여줘,최익환,"(주)영화사이다,환상의빛(주)",,(주)트리플픽쳐스,2022-10-19,개봉영화,장편,한국,112,"39,655,296","4,636","18,862,299","2,187",드라마,15세이상관람가,독립/예술영화
296,로보카폴리 안전교실 교통편,엄준영,(주)로이비쥬얼,,(주)로이비쥬얼,2022-09-19,개봉영화,장편,한국,16,"27,590,000","4,597","1,200,000",200,애니메이션,전체관람가,일반영화
297,화이트 노이즈,노아 바움백,,,씨제이 씨지브이(CJ CGV)(주),2022-12-07,개봉영화,장편,미국,62,"36,283,700","4,532","24,333,800","2,934",코미디,15세이상관람가,일반영화
298,킹덤2: 아득한 대지로,사토 신스케,,(주)도키엔터테인먼트,"(주)이놀미디어,(주)플레이그램",2022-11-16,개봉영화,장편,미국,112,"37,839,200","4,526","20,983,700","2,804",액션,15세이상관람가,독립/예술영화
299,아이를 위한 아이,이승환,(주)고집스튜디오,,(주)트리플픽쳐스,2022-07-21,개봉영화,장편,한국,51,"38,482,300","4,515","22,559,600","2,566",기타,12세이상관람가,독립/예술영화
300,코코순이,이석재,"KBS,커넥트픽쳐스(주)",,커넥트픽쳐스(주),2022-08-25,개봉영화,장편,한국,50,"40,166,900","4,415","22,823,300","2,401",다큐멘터리,전체관람가,독립/예술영화
301,블루버스데이,박단희,씨제이 씨지브이(CJ CGV)(주),,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022-01-19,개봉영화,장편,한국,43,"46,533,900","4,394","25,154,600","2,323",멜로/로맨스,12세이상관람가,일반영화
302,사랑 후의 두 여자,,,판씨네마(주),판씨네마(주),2022-03-30,개봉영화,장편,영국,55,"37,990,180","4,392","27,452,360","2,903",드라마,15세이상관람가,독립/예술영화
303,에이비식스 : 테이크 어 챈스,"박우주,김혜진",씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),2022-10-05,개봉영화,장편,한국,16,"43,579,000","4,358","35,760,000","3,576",다큐멘터리,전체관람가,일반영화
304,낮과 달,이영아,한국영화아카데미,,찬란,2022-10-20,개봉영화,장편,한국,52,"35,517,098","4,339","22,003,498","2,688",드라마,15세이상관람가,독립/예술영화
305,퍼스트 러브,츠츠미 유키히코,,(주)미디어캐슬,(주)미디어캐슬,2022-05-16,개봉영화,장편,일본,8,"23,035,800","4,255","17,409,300","3,212",미스터리,15세이상관람가,독립/예술영화
306,노웨어 스페셜,우베르토 파솔리니,,그린나래미디어(주),"그린나래미디어(주),(주)인터파크",2021-12-29,개봉영화,장편,이탈리아,62,"38,899,400","4,234","24,007,960","2,526",드라마,전체관람가,독립/예술영화
307,카고,제임스 쿨렌 브레삭,,(유)조이앤시네마,와이드 릴리즈(주),2022-09-15,개봉영화,장편,미국,217,"38,870,078","4,231","7,011,460",752,애니메이션,전체관람가,일반영화
308,극장판 이세계 콰르텟: 어나더 월드,,,에스엠지홀딩스 주식회사,워터홀컴퍼니(주),2022-10-13,개봉영화,장편,일본,50,"43,182,100","4,069","15,383,200","1,368",애니메이션,12세이상관람가,일반영화
309,비스트,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-09-14,개봉영화,장편,미국,42,"28,317,600","4,053","13,471,300","2,054",공포(호러),12세이상관람가,일반영화
